idx,Base salt,Initial loading,Final loading,Fitness
388,KAl(SO4)2,3.0,12.0,1.56
389,KAl(SO4)2,2.0,12.0,1.63
390,KAl(SO4)2,0.0,12.0,1.76
391,KAl(SO4)2,2.0,3.0,1.95
392,KAl(SO4)2,0.0,3.0,2.2
393,KAl(SO4)2,1.0,2.0,1.86
394,KAlF4,0.0,0.33,3.03
395,KAuBr4,0.0,2.0,4.11
396,KAuCl4,0.0,2.0,3.09
397,KCdCl3,0.0,1.0,2.98
398,KCr(SO4)2,6.0,12.0,1.43
399,KF,2.0,4.0,1.04
400,KF,0.0,4.0,1.44
401,KF,0.0,2.0,2.02
402,KInBr4,0.0,2.0,3.2
403,KMgCl3,2.0,6.0,1.39
404,KMgCl3,0.0,6.0,1.6
405,KMgCl3,0.0,2.0,2.3
406,KMnCl3,0.0,2.0,2.22
407,KOH,1.0,2.0,1.44
408,KOH,0.0,2.0,1.78
409,KOH,0.75,1.0,1.63
410,KOH,0.0,1.0,1.96
411,KSnF3,0.0,0.5,3.69
412,La(NO3)3,4.0,6.0,1.95
413,La(NO3)3,3.0,6.0,2.06
414,La(NO3)3,0.0,6.0,2.35
415,La(NO3)3,3.0,4.0,2.22
416,La(NO3)3,0.0,4.0,2.61
417,La(NO3)3,0.0,3.0,2.6
418,La2(CO3)3,6.0,8.0,2.22
419,La2(CO3)3,0.5,8.0,2.69
420,La2(CO3)3,0.5,6.0,2.69
421,La2(CrO4)3,2.0,7.0,2.85
422,La2(CrO4)3,0.0,7.0,2.98
423,La2(SO4)3,0.0,9.0,2.82
424,LaBr3,0.0,7.0,2.77
425,LaCl3,6.0,7.0,1.58
426,LaCl3,3.0,7.0,1.85
427,LaCl3,1.0,7.0,2.12
428,LaCl3,0.0,7.0,2.23
429,LaCl3,1.0,3.0,2.43
430,LaCl3,0.0,3.0,2.59
431,LaCl3,0.0,1.0,3.0
432,LaPO4,0.0,2.0,4.38
433,Li2CrO4,0.0,2.0,2.16
434,Li2Sn(OH)6,0.0,2.0,2.56
435,Li2SO4,0.0,1.0,2.07
436,Li2TiF6,0.0,2.0,2.41
437,Li2ZnCl4,0.0,2.0,2.16
438,LiBr,1.0,2.0,1.88
439,LiBr,0.0,2.0,2.2
440,LiBr,0.0,1.0,2.67
441,LiCl,2.0,3.0,0.79
442,LiCl,1.0,3.0,1.02
443,LiCl,0.0,3.0,1.25
444,LiCl,1.0,2.0,1.16
445,LiCl,0.0,2.0,1.5
446,LiCl,0.0,1.0,1.76
447,LiClO4,1.0,3.0,1.68
448,LiClO4,0.0,3.0,1.9
449,LiClO4,0.0,1.0,2.21
450,LiI,2.0,3.0,1.93
451,LiI,1.0,3.0,2.15
452,LiI,0.0,3.0,2.38
453,LiI,1.0,2.0,2.19
454,LiI,0.0,2.0,2.6
455,LiI,0.5,1.0,2.98
456,LiI,0.0,1.0,3.18
457,LiI,0.0,0.5,3.35
458,LiMnF4,0.0,1.0,2.9
459,LiNO2,0.0,1.0,1.63
460,LiNO3,0.0,3.0,1.57
461,LiOH,0.0,1.0,1.5
462,LiReO4,1.0,2.0,3.64
463,LiReO4,0.0,2.0,3.87
464,LiReO4,0.0,1.0,4.08
465,LuBr3,0.0,8.0,2.85
466,LuCl3,0.0,6.0,2.71
467,LuPO4,0.0,2.0,7.79
468,Mg(ClO4)2,4.0,6.0,1.56
469,Mg(ClO4)2,2.0,6.0,1.78
470,Mg(ClO4)2,0.0,6.0,2.0
471,Mg(ClO4)2,2.0,4.0,1.7
472,Mg(ClO4)2,0.0,4.0,1.94
473,Mg(ClO4)2,0.0,2.0,2.22
474,Mg(NO3)2,2.0,6.0,1.41
475,Mg(NO3)2,0.0,6.0,1.67
476,Mg(NO3)2,0.0,2.0,2.03
477,Mg3(PO4)2,2.0,8.0,1.94
478,Mg3(O3POB(OH)3)2,1.0,6.0,2.22
479,Mg3(O3POB(OH)3)2,0.0,6.0,2.32
480,Mg3(O3POB(OH)3)2,0.0,1.0,2.3
481,MgBr2,6.0,9.0,1.28
482,MgBr2,4.0,9.0,1.47
483,MgBr2,2.0,9.0,1.66
484,MgBr2,1.0,9.0,1.76
485,MgBr2,0.0,9.0,1.86
486,MgBr2,4.0,6.0,1.54
487,MgBr2,1.0,6.0,1.91
488,MgBr2,0.0,6.0,2.03
489,MgBr2,2.0,4.0,1.95
490,MgBr2,1.0,2.0,2.54
491,MgBr2,0.0,1.0,3.49
492,MgC2O4,0.0,2.0,2.07
493,MgCl2,4.0,6.0,1.01
494,MgCl2,2.0,6.0,1.28
495,MgCl2,1.0,6.0,1.42
496,MgCl2,0.0,6.0,1.56
497,MgCl2,2.0,4.0,1.29
498,MgCl2,1.0,4.0,1.47
499,MgCl2,0.0,4.0,1.64
500,MgCl2,1.0,2.0,1.64
501,MgCl2,0.0,2.0,1.9
502,MgCl2,0.0,1.0,2.02
503,MgCO3,3.0,5.0,1.17
504,MgCO3,1.0,5.0,1.52
505,MgCO3,0.0,5.0,1.69
506,MgCO3,1.0,3.0,1.61
507,MgCO3,0.0,3.0,1.85
508,MgCrO4,2.0,5.0,1.65
509,MgCrO4,1.0,5.0,1.8
510,MgCrO4,0.0,5.0,1.96
511,MgCrO4,0.0,1.0,3.21
512,MgCsCl3,0.0,6.0,2.01
513,MgHPO4,1.0,3.0,1.89
514,MgRbCl3,0.0,6.0,1.76
516,MgSeO4,4.0,6.0,1.43
517,MgSeO4,1.0,6.0,1.8
518,MgSeO4,0.0,6.0,1.93
519,MgSeO4,1.0,4.0,1.78
520,MgSeO4,0.0,4.0,1.93
521,MgSeO4,0.0,1.0,3.19
522,MgSO3,3.0,6.0,1.28
523,MgSO3,0.0,6.0,1.72
524,MgSO3,0.0,3.0,2.13
