idx,Base salt,Initial loading,Final loading,Fitness
877,Ca(IO3)2,2,4.0,0.7
322,AlAsO4,0,4.0,2.66
3285,BaCl2,1,4.0,1.324
2054,VBr4,2,4.0,0.908
429,LaCl3,0,6.0,2.45
3614,PbCl2,2,4.0,0.975
3145,NiBr3,3,9.0,1.5
219,Na2CO3,0,10.0,3.25
1684,BeBr2,4,9.0,1.413
2069,BaI2,8,12.0,0.816
2304,BeF2,7,8.0,0.355
4127,ZrBr4,4,5.0,0.359
948,Ba(H2PO4)2,0,1.0,0.5
733,Zn3(AsO4)2,4,8.0,1.11
1953,GeBr2,2,4.0,1.051
3895,BaI2,4,6.0,0.66
2007,SrCl2,1,2.0,0.966
2335,CaI2,6,7.0,0.321
745,Pb(IO3)2,2,6.0,1.06
1352,GaCl3,0,4.0,2.191
287,VF4,0,5.0,3.153
3424,YI3,3,6.0,1.209
2385,GeF4,0,8.0,3.738
910,CoPO4,9,11.0,0.57
1222,NaF,0,2.0,2.413
815,Sr2As2O7,0,2.0,0.86
3815,ScI3,6,9.0,0.738
800,Mg(ClO4)2,4,7.0,0.82
2360,LaI3,7,8.0,0.259
2946,SnF4,2,5.0,1.836
3690,LaI3,1,3.0,0.908
356,KIO3,0,6.0,2.31
40,Li2S,5,9.0,1.563
794,CaCl2,0,1.0,0.983
2632,YCl3,1,7.0,2.42
751,CaCl2,2,4.0,1.085
995,LiClO4,3,4.0,0.29
2429,BeF2,0,8.0,3.051
3716,CaCl2,1,2.0,0.801
2555,CuF2,2,9.0,2.583
1463,NaBr,0,3.0,1.887
3493,SnF4,5,8.0,1.05
2665,LiI,0,3.0,2.433
1138,LiBr,0,4.0,2.702
3672,CoCl3,7,9.0,0.816
733,BeBr2,4,8.0,1.205
1412,PbCl2,0,6.0,2.105
1714,RbBr,0,3.0,1.452
3827,VI2,9,12.0,0.701
1331,YCl3,2,9.0,2.056
3887,BeI2,9,12.0,0.624
414,AlF3,3,9.0,2.297
3621,MgI2,0,1.0,0.988
47,Li2Se,5,7.0,0.929
3429,LiI,1,2.0,1.175
1373,CrI3,0,9.0,2.171
2827,MgBr2,1,4.0,2.065
1445,BaCl2,1,8.0,1.944
252,MgF2,0,12.0,3.375
3009,ZrBr4,0,4.0,1.793
350,CaI2,0,12.0,2.657
1844,MgBr2,0,1.0,1.249
577,La(IO3)3,0,9.0,1.58
457,SrI2,1,12.0,2.221
1624,CaBr2,4,9.0,1.52
568,LiIO3,0,2.0,1.6
90,BaBr2,0,12.0,2.31
4048,SrCl2,7,8.0,0.419
3341,YCl3,4,7.0,1.211
26,MgI2,0,9.0,3.365
1006,BeBr2,0,4.0,3.681
181,LiCl,1,2.0,1.239
1014,MgCl2,1,12.0,3.062
1798,YI3,4,8.0,1.32
585,FeAsO4,0,1.0,1.6
196,Co3(AsO4)2,0,1.0,0.45
1974,LaBr3,0,2.0,1.058
3860,LaI3,6,9.0,0.715
3185,ScCl3,0,2.0,1.417
683,GeF4,2,4.0,1.453
2106,SrBr2,9,12.0,0.742
303,CrPO4,2,9.0,2.58
456,Sr3(AsO4)2,2,11.0,2.02
654,SrHPO4,0,2.0,1.32
1140,BeF2,2,12.0,2.48
3656,WCl4,3,5.0,0.922
3450,ScBr3,0,2.0,1.159
69,BeF2,0,2.0,2.485
2549,NiCl2,0,8.0,2.521
2639,MgCl2,2,8.0,2.191
929,Sr(BrO3)2,4,6.0,0.54
119,PbHPO4,0,7.0,2.3
2872,LiBr,1,4.0,1.873
203,HfF4,5,8.0,1.031
724,KBr,0,2.0,1.252
3985,PbI4,1,3.0,0.575
1551,WI4,0,8.0,1.838
387,GaBr3,0,9.0,2.555
2037,ZnCl2,4,6.0,0.882
3457,KI,0,2.0,1.111
1569,SnCl4,3,8.0,1.674
3333,CaI2,7,12.0,1.183
316,MnAsO4,1,9.0,2.57
936,CaHAsO4,3,4.0,0.51
596,Mn2As2O7,1,6.0,1.52
221,SrI2,0,1.0,0.793
1448,SnCl4,0,4.0,1.993
1224,LiBr,0,2.0,2.524
567,Mn3(AsO4)2,2,8.0,1.6
691,MgBr2,4,8.0,1.346
2744,SrCl2,1,6.0,2.184
2300,CaBr2,7,8.0,0.375
2729,NiCl2,0,4.0,2.238
919,Cu(IO3)2,4,6.0,0.59
536,K2HPO4,2,6.0,1.58
177,MgCl2,2,4.0,1.346
485,CaHAsO4,2,7.0,1.76
2378,BeCl2,0,9.0,3.66
2317,BaCl2,8,9.0,0.352
3551,AlBr3,7,9.0,0.984
1890,RbBr,0,2.0,1.126
1938,MgCl2,9,12.0,0.9
3643,TiCl4,3,5.0,0.876
2863,GeBr2,0,4.0,2.016
854,Zn3(PO4)2,4,7.0,0.74
2194,GaBr3,0,1.0,0.682
216,AlAsO4,0,11.0,3.5
3418,MoBr4,0,3.0,1.222
1386,SrI2,2,12.0,2.015
1013,MgCl2,0,6.0,3.351
1050,ZnCl2,0,12.0,2.926
1466,SnF2,2,8.0,1.913
2410,CuF2,0,4.0,3.549
629,Ni2As2O7,2,6.0,1.41
1729,VCl4,2,5.0,1.375
3189,MgCl2,2,4.0,1.346
3161,GaBr3,0,3.0,1.53
993,Sn(H2PO4)2,0,1.0,0.35
2028,BeI2,4,7.0,0.922
417,PbCO3,0,5.0,2.16
4191,LaF3,6,7.0,0.263
2705,MgI2,1,6.0,2.339
219,YI3,6,9.0,0.777
2243,GaCl3,2,3.0,0.557
1827,VBr3,1,3.0,1.275
582,NaBr,0,2.0,1.831
2440,CoCl2,0,12.0,2.951
2540,SnF4,0,3.0,2.855
43,RbF,0,4.0,2.923
210,NiCl2,0,1.0,0.959
2986,LaI3,1,6.0,1.835
354,LiBr,0,4.0,2.702
3680,YF3,4,6.0,0.876
677,VF3,3,6.0,1.429
960,Ba(ClO4)2,4,6.0,0.45
3596,PbCl4,5,8.0,0.971
367,SnCl2,0,12.0,2.485
131,Pb3(AsO4)2,0,11.0,2.2
4076,VI2,8,9.0,0.413
3007,TiF4,1,3.0,1.707
135,RbF,0,1.0,2.085
2280,VCl4,4,5.0,0.426
47,MnCl4,0,8.0,2.833
3844,AlI3,7,9.0,0.714
2180,SnI2,9,12.0,0.663
3325,CrBr4,4,8.0,1.286
1984,ZnF2,6,9.0,0.942
670,BeBr2,4,9.0,1.413
3020,CoCl2,6,12.0,1.527
