idx,Base salt,Initial loading,Final loading,Fitness,Origin
1196,GeF4,0.0,8.0,3.738,s
5528,FePO4,0.0,1.0,0.79,s
356,K2Co(SO4)2,0.0,6.0,1.85,e
1880,BeI2,0.0,4.0,3.336,s
4710,BeCl2,8.0,9.0,0.289,s
3400,WBr4,0.0,8.0,2.309,s
2327,WCl4,3.0,8.0,1.746,s
2799,ZnBr2,9.0,12.0,0.788,s
5169,AlAsO4,4.0,9.0,1.94,s
4321,SnBr2,9.0,12.0,0.766,s
1065,BaCl2,0.0,12.0,2.389,s
1849,ZnF2,1.0,12.0,3.246,s
1787,LaBr3,7.0,9.0,0.43,s
3436,NiBr2,1.0,6.0,2.166,s
2180,CaCl2,2.0,8.0,1.812,s
3630,ZrCl4,3.0,8.0,1.674,s
590,Na2B4O8H2,1.5,3.0,0.57,e
3329,ScI3,0.0,7.0,2.474,s
2127,SnF2,0.0,4.0,2.24,s
604,Na2CrO4,4.0,10.0,1.32,e
819,SnCl4,2.0,8.0,1.99,e
1798,BeBr2,8.0,9.0,0.334,s
4507,PbBr2,0.0,1.0,0.633,s
2324,YCl3,0.0,3.0,1.699,s
3738,ZnF2,4.0,9.0,1.46,s
4012,CuBr2,8.0,12.0,1.104,s
5328,MnCO3,3.0,6.0,1.34,s
3264,YI3,0.0,10.0,2.613,s
1579,PbCl2,0.0,2.0,1.461,s
5265,AlAsO4,5.0,9.0,1.57,s
122,CaCO3,0.0,1.0,1.17,e
5125,Sr3(PO4)2,1.0,11.0,2.17,s
5581,PbHAsO4,0.0,1.0,0.7,s
5424,CaHAsO4,4.0,7.0,1.04,s
1554,BeBr2,4.0,9.0,1.413,s
4034,PbCl2,8.0,12.0,1.083,s
423,La2(SO4)3,0.0,9.0,2.06,e
5516,PbHAsO4,2.0,4.0,0.84,s
632,Na2SeO4,0.0,10.0,2.48,e
5701,Ba(ClO4)2,5.0,6.0,0.24,s
2905,KBr,1.0,2.0,0.638,s
1524,CaBr2,1.0,4.0,1.63,s
